47.070123,15.409842
47.070039,15.408200
47.070093,15.406496
47.070296,15.404623
47.070605,15.402532
47.069781,15.401748
47.068575,15.401387
47.068594,15.399960
47.068830,15.398381
47.069127,15.396049
47.069327,15.394156
47.068809,15.392324
47.067649,15.392155
47.066757,15.392180
47.065334,15.392225
47.064428,15.392252
47.063204,15.392292
47.061985,15.392326
47.061000,15.392357
47.060293,15.392779
47.061056,15.392393
47.061864,15.392368
47.063062,15.392332
47.064690,15.392281
47.066589,15.392224
47.068221,15.392173
47.069063,15.393151
47.069244,15.394860
47.068927,15.397409
47.068403,15.401017
47.069550,15.401725
47.070543,15.402061
47.070440,15.403457
47.070233,15.404872
47.070017,15.407341
47.070092,15.409827
47.070631,15.410252
47.071727,15.410171
47.071576,15.409766
47.070503,15.410347
